Seed,Incident Link,Feeder 1,Feeder 2,Start Time [HH:MM:SS],End Time [HH:MM:SS],Duration [HH:MM:SS],Duration [mins]
879,12956,13445,12954,8:10:02,9:47:40,1:37:38,97.63
879,12972,12969,13458,20:39:55,21:16:39,0:36:44,36.73
879,13170,13506,13168,16:26:39,18:20:39,1:54:00,114
879,13188,13186,13484,16:47:32,18:01:00,1:13:28,73.47
879,13246,12964,14236,22:54:46,24:24:00,1:29:14,89.23
879,13460,12978,12961,17:43:46,18:57:52,1:14:06,74.1
879,13461,12981,13451,15:29:29,15:58:20,0:28:51,28.85
879,13467,13463,12982,8:36:28,9:52:27,1:15:59,75.98
879,13508,13175,13178,15:34:47,16:34:37,0:59:50,59.83
879,14513,13441,13438,16:44:39,17:53:00,1:08:21,68.35
879,16809,16505,16504,11:41:42,12:35:26,0:53:44,53.73
879,17632,24753,17875,7:28:57,8:29:16,1:00:19,60.32
879,18277,20802,18266,19:05:53,19:24:17,0:18:24,18.4
879,18310,17115,25228,9:24:37,10:17:50,0:53:13,53.22
879,18356,25231,17789,10:57:25,11:42:41,0:45:16,45.27
879,18779,19063,19059,13:13:08,14:32:15,1:19:07,79.12
879,20454,20457,20458,14:37:35,18:09:52,3:32:17,212.28
879,24911,18696,17458,7:54:37,9:31:00,1:36:23,96.38
886,12920,13427,12918,17:24:03,17:49:00,0:24:57,24.95
886,16560,16559,16557,7:50:44,8:28:03,0:37:19,37.32
886,16752,16586,16585,8:25:44,10:01:37,1:35:53,95.88
886,18234,17269,25185,14:57:42,15:56:07,0:58:25,58.42
886,20770,17989,20795,18:05:47,18:21:49,0:16:02,16.03
907,8944,16560,16559,13:59:07,15:15:19,1:16:12,76.2
907,9120,13448,14511,9:51:34,11:00:08,1:08:34,68.57
907,12919,12921,13431,16:45:28,16:58:08,0:12:40,12.67
907,12920,13427,12918,16:54:20,18:28:06,1:33:46,93.77
907,13073,13076,13567,14:20:42,15:35:00,1:14:18,74.3
907,13425,12913,12844,14:47:30,16:40:00,1:52:30,112.5
